"","Latitude","Longitude","County","Season","Pollutant","Sample"
"614",34.510014,-117.331433,"San Bernardino",1,"Ozone",0.389031821259309
"615",34.510014,-117.331433,"San Bernardino",1,"SO2",0.0035550809752625
"616",34.510014,-117.331433,"San Bernardino",2,"CO",0.0122530775837389
"617",34.510014,-117.331433,"San Bernardino",2,"NO2",0.0896352299298519
"618",34.510014,-117.331433,"San Bernardino",2,"Ozone",0.637460635556828
"619",34.510014,-117.331433,"San Bernardino",2,"SO2",0.00554177172634056
"620",34.510014,-117.331433,"San Bernardino",3,"CO",0.0127163376494729
"621",34.510014,-117.331433,"San Bernardino",3,"NO2",0.0946849456802897
"622",34.510014,-117.331433,"San Bernardino",3,"Ozone",0.676802721088435
"623",34.510014,-117.331433,"San Bernardino",3,"SO2",0.00779936887560206
"624",34.510014,-117.331433,"San Bernardino",4,"CO",0.0126036981509245
"625",34.510014,-117.331433,"San Bernardino",4,"NO2",0.135308219178082
"626",34.510014,-117.331433,"San Bernardino",4,"Ozone",0.414035499257174
"627",34.510014,-117.331433,"San Bernardino",4,"SO2",0.0147127882599581
"628",34.52744,-120.1965,"Santa Barbara",1,"NO2",0.0202564102564103
"629",34.52744,-120.1965,"Santa Barbara",1,"Ozone",0.446803510954454
"630",34.52744,-120.1965,"Santa Barbara",2,"NO2",0.0258700920988851
"631",34.52744,-120.1965,"Santa Barbara",2,"Ozone",0.459186704384724
"632",34.52744,-120.1965,"Santa Barbara",3,"NO2",0.0285796545105566
"633",34.52744,-120.1965,"Santa Barbara",3,"Ozone",0.398299972580203
"634",34.52744,-120.1965,"Santa Barbara",4,"NO2",0.0220604099244876
"635",34.52744,-120.1965,"Santa Barbara",4,"Ozone",0.427486263736264
"636",34.54166,-119.79146,"Santa Barbara",1,"NO2",0.00585030549898167
"637",34.54166,-119.79146,"Santa Barbara",1,"Ozone",0.431234990175387
"638",34.54166,-119.79146,"Santa Barbara",2,"NO2",0.00651530612244898
"639",34.54166,-119.79146,"Santa Barbara",2,"Ozone",0.494373177842566
"640",34.54166,-119.79146,"Santa Barbara",3,"NO2",0.0117823834196891
"641",34.54166,-119.79146,"Santa Barbara",3,"Ozone",0.46612141039622
"642",34.54166,-119.79146,"Santa Barbara",4,"NO2",0.00678999478895258
"643",34.54166,-119.79146,"Santa Barbara",4,"Ozone",0.432906301206614
"644",34.596095,-120.631282,"Santa Barbara",1,"CO",0.00681350954478708
"645",34.596095,-120.631282,"Santa Barbara",1,"NO2",0.004033203125
"646",34.596095,-120.631282,"Santa Barbara",1,"Ozone",0.535918770272176
"647",34.596095,-120.631282,"Santa Barbara",1,"SO2",0.000751173708920188
"648",34.596095,-120.631282,"Santa Barbara",2,"CO",0.00647517039922103
"649",34.596095,-120.631282,"Santa Barbara",2,"NO2",0.000940087676570872
"650",34.596095,-120.631282,"Santa Barbara",2,"Ozone",0.504641291489806
"651",34.596095,-120.631282,"Santa Barbara",2,"SO2",0.000514071904994306
"652",34.596095,-120.631282,"Santa Barbara",3,"CO",0.00542016806722689
"653",34.596095,-120.631282,"Santa Barbara",3,"NO2",0.00043141592920354
"654",34.596095,-120.631282,"Santa Barbara",3,"Ozone",0.383155650319829
"655",34.596095,-120.631282,"Santa Barbara",3,"SO2",0.000604385480007371
"656",34.596095,-120.631282,"Santa Barbara",4,"CO",0.00350160023276113
"657",34.596095,-120.631282,"Santa Barbara",4,"NO2",0.00665608465608466
"658",34.596095,-120.631282,"Santa Barbara",4,"Ozone",0.484362050163577
"659",34.596095,-120.631282,"Santa Barbara",4,"SO2",0.00035751840168244
"660",34.605819,-120.075069,"Santa Barbara",1,"Ozone",0.384320724926203
"661",34.605819,-120.075069,"Santa Barbara",2,"Ozone",0.458654174929905
"662",34.605819,-120.075069,"Santa Barbara",3,"Ozone",0.388079425318514
"663",34.605819,-120.075069,"Santa Barbara",4,"Ozone",0.357966124569809
"664",34.63782,-120.4575,"Santa Barbara",1,"CO",0.00479878301756327
"665",34.63782,-120.4575,"Santa Barbara",1,"NO2",0.0452781809385583
"666",34.63782,-120.4575,"Santa Barbara",1,"Ozone",0.374103255235331
"667",34.63782,-120.4575,"Santa Barbara",1,"SO2",0.00287050475729721
"668",34.63782,-120.4575,"Santa Barbara",2,"CO",0.00537986539929231
"669",34.63782,-120.4575,"Santa Barbara",2,"NO2",0.0149635745507528
